date,open,high,low,close,volume
2017-10-23,197.3979,198.4659,195.4218,196.2402,10717376
2017-10-24,196.6095,198.3661,195.5615,198.2962,10181132
2017-10-25,196.6993,198.8352,190.8007,193.2859,20704030
2017-10-26,194.4037,195.7811,193.4356,195.312,8068563
2017-10-27,197.4179,201.48,196.3699,201.4701,14304835
2017-10-30,201.4701,205.6918,200.8313,203.4462,12601417
2017-10-31,204.7337,207.4884,204.5042,206.4105,10297707
2017-11-01,208.9456,209.5644,204.2048,206.7997,12564446
2017-11-02,205.6021,207.4086,203.2566,205.5422,8557738
2017-11-03,206.7997,208.2869,204.9443,208.2869,8841024
2017-11-06,206.7997,209.5744,206.3007,209.225,9748616
2017-11-07,210.1433,212.4887,209.6498,211.6204,10692542
2017-11-08,211.4408,211.5905,206.8398,208.756,13074705
2017-11-09,204.8735,205.9314,199.9829,204.9234,23432127
2017-11-10,212.6684,218.2476,211.2212,215.7225,31331374
2017-11-13,215.7225,216.7505,211.6004,212.2192,14559413
2017-11-14,212.5885,214.3851,210.822,213.7663,13232319
2017-11-15,211.5406,211.5905,207.3986,209.5744,12548731
2017-11-16,212.5686,213.7862,210.8419,211.2012,11044183
2017-11-17,213.5068,214.934,210.3429,210.9517,12891568
2017-11-20,211.5805,214.1555,210.0934,213.6664,9902511
2017-11-21,215.2733,216.1017,213.9858,215.6326,9979358
2017-11-22,216.7312,216.7312,213.3454,214.6638,8915998
2017-11-24,215.323,216.7312,214.3342,216.6913,4518800
2017-11-27,217.0408,217.0908,213.7449,213.8748,10572364
2017-11-28,214.0845,214.464,207.9821,210.449,12818804
2017-11-29,209.7499,209.8623,190.9931,196.1767,34919741
2017-11-30,198.9533,202.429,196.4064,200.4614,20594199
2017-12-01,199.0631,199.8821,192.2316,197.4352,20288748
2017-12-04,199.8022,200.0519,184.2715,186.4288,31021123
2017-12-05,182.1741,192.4613,180.3563,187.5075,24537194
2017-12-06,185.47,189.9045,184.6111,189.0256,11675760
2017-12-07,191.7222,193.3602,189.8845,191.7522,13564988
2017-12-08,193.7697,194.5387,190.9132,191.2528,11671856
2017-12-11,191.8221,194.5387,191.1829,194.4189,9318741
2017-12-12,192.6611,193.5999,189.6548,190.6036,11375445
2017-12-13,192.2616,192.3115,185.6498,185.9494,13856992
2017-12-14,185.6897,189.1055,184.3714,186.239,10954056
2017-12-15,188.0178,192.1417,185.3901,191.3227,16750878
2017-12-18,192.9607,197.7747,191.7622,197.6549,11942558
2017-12-19,197.2753,197.4851,194.7185,195.8671,9327493
2017-12-20,197.4551,197.8247,194.309,196.5562,7220456
2017-12-21,196.6961,197.7048,195.3078,195.6474,7522626
2017-12-22,194.1592,195.4077,191.0131,195.0281,11656871
2017-12-26,192.7909,197.5051,191.5824,197.1954,8877033
2017-12-27,196.6561,199.7223,196.0668,196.9258,8237223
2017-12-28,197.8846,199.133,196.9072,197.1555,6006248
2017-12-29,198.2142,198.2142,193.2603,193.2603,6999116
2018-01-02,195.5375,199.2529,194.2591,199.1031,8890417
2018-01-03,203.8472,213.4353,203.4976,212.2068,22867591
2018-01-04,215.4928,217.7799,212.4266,213.3254,14581720
2018-01-05,213.9247,216.6413,210.8186,215.1332,14503103
2018-01-08,220.127,224.7213,218.3093,221.725,22030422
2018-01-09,221.9448,223.5428,218.3692,221.6651,12424995
2018-01-10,217.9297,223.5428,215.7325,223.4029,14566626
2018-01-11,224.7213,225.9897,222.9335,223.8025,10150767
2018-01-12,223.323,224.7113,221.0658,222.7038,8997902
2018-01-16,223.7725,227.2282,216.4216,219.8374,17558687
2018-01-17,220.4266,224.8412,216.6313,224.4417,13460222
2018-01-18,223.6626,226.3593,222.4042,224.162,10215841
2018-01-19,227.8075,230.8038,226.7188,229.825,15234486
2018-01-22,230.1446,233.4705,227.8175,233.4005,13773561
2018-01-23,235.5579,239.5329,234.8098,238.6141,11880705
2018-01-24,238.7439,240.1957,233.2607,235.5079,14499309
2018-01-25,237.7052,239.453,235.458,236.0573,10247091
2018-01-26,237.8251,243.0386,237.3057,243.0286,12908854
2018-01-29,242.4393,247.8027,240.312,246.5442,11377853
2018-01-30,240.8114,246.1148,238.1147,242.4194,14270844
2018-01-31,245.4656,248.9613,244.1472,245.4955,11964444
2018-02-01,238.2246,246.5942,237.7651,240.2021,12980572
2018-02-02,236.7064,237.6752,230.8837,233.2308,17961555
2018-02-05,226.7188,232.9411,204.7461,213.4353,29130140
2018-02-06,204.1468,225.4204,203.7473,225.3006,27870031
2018-02-07,229.2956,234.679,226.4192,228.5166,20073316
2018-02-08,233.5903,234.9287,217.2406,217.2506,28599976
2018-02-09,237.9549,238.5941,217.2506,231.7925,41865077
2018-02-12,235.0635,235.1883,224.7518,227.7476,27329342
2018-02-13,226.2794,234.2095,224.971,232.3419,15638119
2018-02-14,230.7139,242.292,230.2644,241.121,18624749
2018-02-15,244.4818,248.0624,241.2208,246.1947,17472515
2018-02-16,245.096,249.6903,243.1684,243.538,15941426
2018-02-20,244.4468,251.558,244.297,248.7715,17155962
2018-02-21,251.3783,251.6554,241.061,241.2109,22307344
2018-02-22,242.58,245.4782,239.352,242.0004,13359133
